shipment_id,shipment_time,weather_condition,geopolitical_event,supplier_reliability,transportation_mode,route_risk,delay
SHIP_133,10,Clear,Tariff,0.76,Road,3,4
SHIP_134,10,Snow,Sanction,0.38,Sea,8,9
SHIP_135,10,Clear,Sanction,0.69,Road,8,7
SHIP_136,12,Clear,Strike,0.5,Rail,9,8
SHIP_137,2,Clear,Sanction,0.96,Road,8,5
SHIP_138,13,Snow,Tariff,0.83,Road,3,6
SHIP_139,10,Clear,Strike,0.98,Road,6,6
SHIP_140,14,Storm,Tariff,0.33,Air,9,8
SHIP_141,9,Clear,Sanction,0.5,Rail,1,4
SHIP_142,3,Storm,Sanction,0.44,Road,3,6
SHIP_143,14,Storm,Tariff,0.31,Road,2,7
SHIP_144,12,Storm,None,0.47,Sea,8,8
SHIP_145,2,Snow,Sanction,0.78,Rail,6,5
SHIP_146,2,Snow,None,0.46,Road,8,4
SHIP_147,13,Snow,Sanction,0.66,Sea,2,6
SHIP_148,7,Clear,None,0.92,Sea,6,4
SHIP_149,10,Storm,None,0.79,Air,7,6
SHIP_150,8,Snow,None,0.58,Sea,8,6
SHIP_151,6,Snow,Tariff,0.56,Road,9,6
SHIP_152,12,Clear,None,0.62,Air,5,3
SHIP_153,3,Snow,None,0.42,Air,3,3
SHIP_154,2,Clear,None,0.74,Road,2,2
SHIP_155,3,Rainy,Sanction,0.55,Rail,8,5
SHIP_156,2,Snow,None,0.9,Sea,1,3
SHIP_157,4,Rainy,Sanction,0.83,Air,6,4
SHIP_158,7,Clear,None,0.73,Rail,2,2
SHIP_159,14,Storm,None,0.55,Road,3,5
SHIP_160,9,Snow,Tariff,0.45,Sea,8,7
SHIP_161,4,Clear,Sanction,0.84,Sea,1,3
SHIP_162,11,Storm,None,0.64,Air,6,6
SHIP_163,10,Storm,Sanction,0.46,Sea,3,8
SHIP_164,11,Rainy,Sanction,0.44,Sea,6,7
SHIP_165,6,Clear,Strike,0.42,Sea,3,5
SHIP_166,8,Storm,Tariff,0.84,Sea,8,7
SHIP_167,9,Snow,Tariff,0.46,Road,5,6
SHIP_168,4,Snow,Tariff,0.67,Rail,4,5
SHIP_169,3,Rainy,Strike,0.62,Road,9,7
SHIP_170,3,Storm,Strike,0.71,Road,5,6
SHIP_171,6,Clear,Tariff,0.91,Air,4,3
SHIP_172,2,Snow,Strike,0.91,Sea,8,7
SHIP_173,3,Storm,Strike,0.62,Road,8,8
SHIP_174,14,Storm,Strike,0.31,Sea,8,9
SHIP_175,10,Rainy,Tariff,0.6,Road,4,4
SHIP_176,8,Snow,Tariff,0.72,Road,1,4
SHIP_177,7,Snow,Tariff,0.69,Air,2,4
SHIP_178,10,Clear,Strike,0.76,Rail,4,5
SHIP_179,8,Snow,Tariff,0.41,Rail,2,5
SHIP_180,12,Clear,Strike,0.75,Road,3,5
SHIP_181,6,Snow,None,0.43,Air,9,6
SHIP_182,10,Rainy,Strike,0.83,Sea,9,7
SHIP_183,7,Snow,Sanction,0.54,Sea,9,8
SHIP_184,7,Clear,Tariff,0.8,Road,7,4
SHIP_185,12,Clear,Tariff,0.33,Rail,4,5
SHIP_186,5,Rainy,Sanction,0.59,Air,1,4
SHIP_187,14,Snow,Strike,0.79,Rail,3,6
SHIP_188,13,Snow,None,0.46,Sea,8,7
SHIP_189,2,Rainy,Sanction,0.86,Rail,4,5
SHIP_190,6,Snow,Sanction,0.74,Sea,2,5
SHIP_191,12,Snow,Strike,0.71,Air,8,8
SHIP_192,10,Clear,Tariff,0.55,Air,7,5
SHIP_193,14,Snow,Strike,0.64,Road,9,9
SHIP_194,9,Snow,Sanction,0.72,Road,2,5
SHIP_195,9,Rainy,Sanction,0.63,Rail,5,5
SHIP_196,6,Rainy,Tariff,0.79,Air,6,4
SHIP_197,13,Storm,Tariff,0.6,Air,2,6
SHIP_198,10,Clear,Tariff,0.44,Road,2,4
SHIP_199,4,Snow,Strike,0.45,Sea,4,7
SHIP_200,4,Snow,Tariff,0.3,Rail,8,6
SHIP_201,2,Storm,Sanction,0.51,Rail,5,6
SHIP_202,10,Snow,Sanction,0.82,Road,9,7
SHIP_203,7,Clear,None,0.86,Air,4,2
SHIP_204,3,Storm,Strike,0.44,Road,3,6
SHIP_205,9,Clear,None,0.97,Road,8,5
SHIP_206,13,Storm,Sanction,0.65,Road,1,6
SHIP_207,10,Storm,None,0.94,Road,9,6
SHIP_208,10,Rainy,Sanction,0.79,Sea,4,6
SHIP_209,3,Clear,None,0.81,Sea,9,5
SHIP_210,3,Snow,Tariff,0.36,Air,8,6
SHIP_211,14,Snow,None,0.45,Road,3,6
SHIP_212,8,Clear,Tariff,0.31,Sea,3,4
SHIP_213,12,Snow,Tariff,0.8,Air,9,7
SHIP_214,5,Snow,Strike,0.54,Road,3,6
SHIP_215,14,Clear,Tariff,0.85,Rail,4,5
SHIP_216,2,Storm,Tariff,0.54,Sea,9,7
SHIP_217,9,Clear,None,0.87,Air,4,2
SHIP_218,3,Storm,Sanction,0.39,Rail,3,6
SHIP_219,4,Snow,Strike,0.42,Road,7,7
SHIP_220,6,Snow,Tariff,0.54,Road,6,5
SHIP_221,4,Snow,Strike,0.59,Road,1,5
SHIP_222,8,Rainy,None,0.54,Sea,8,6
SHIP_223,8,Storm,Tariff,0.83,Air,1,4
SHIP_224,3,Rainy,None,0.37,Rail,4,3
SHIP_225,14,Rainy,Strike,0.55,Air,6,8
SHIP_226,14,Clear,None,0.89,Sea,6,5
SHIP_227,8,Rainy,Strike,0.35,Air,7,7
SHIP_228,12,Clear,None,0.96,Sea,5,4
SHIP_229,7,Clear,Strike,0.99,Road,5,5
SHIP_230,11,Rainy,Sanction,0.36,Rail,4,6
SHIP_231,10,Storm,None,0.5,Road,6,5
SHIP_232,14,Storm,None,0.56,Air,7,6
SHIP_233,10,Storm,Sanction,0.84,Road,1,5
SHIP_234,3,Storm,Sanction,0.72,Rail,9,8
SHIP_235,8,Storm,None,0.75,Road,8,6
SHIP_236,6,Rainy,Sanction,0.83,Rail,7,5
SHIP_237,14,Rainy,Tariff,0.38,Rail,9,8
SHIP_238,7,Snow,Strike,0.88,Road,3,6
SHIP_239,2,Storm,Strike,0.79,Sea,4,6
SHIP_240,8,Rainy,Strike,0.7,Air,7,6
SHIP_241,7,Snow,Tariff,0.92,Sea,6,5
SHIP_242,5,Storm,Sanction,0.79,Sea,2,6
SHIP_243,2,Clear,Sanction,0.44,Road,2,4
SHIP_244,10,Snow,None,0.6,Air,7,5
SHIP_245,5,Rainy,Sanction,0.65,Air,9,5
SHIP_246,3,Clear,None,0.34,Sea,9,4
SHIP_247,9,Clear,Tariff,0.97,Road,7,4
SHIP_248,3,Clear,Strike,0.39,Air,8,5
SHIP_249,6,Snow,Strike,0.79,Sea,3,5
SHIP_250,12,Rainy,Strike,0.65,Air,1,5
SHIP_251,7,Clear,Sanction,0.32,Road,7,6
SHIP_252,12,Storm,None,0.95,Road,8,7
SHIP_253,14,Clear,None,0.9,Road,2,4
SHIP_254,9,Clear,Tariff,0.67,Air,9,5
SHIP_255,12,Snow,Sanction,0.46,Rail,4,7
SHIP_256,2,Snow,Tariff,0.39,Air,9,5
SHIP_257,2,Rainy,None,0.55,Rail,3,3
SHIP_258,13,Storm,None,0.48,Road,8,7
SHIP_259,5,Snow,Strike,0.65,Sea,2,6
SHIP_260,6,Clear,Sanction,0.98,Rail,3,4
SHIP_261,14,Rainy,None,0.7,Road,1,3
SHIP_262,14,Clear,Strike,0.92,Road,5,6
SHIP_263,10,Clear,Sanction,0.76,Rail,4,5
SHIP_264,12,Snow,Tariff,0.63,Sea,1,5
SHIP_265,8,Rainy,Sanction,0.9,Road,9,6
SHIP_266,8,Storm,Sanction,0.63,Rail,6,8
SHIP_267,9,Storm,None,0.91,Sea,6,6
SHIP_268,6,Snow,None,0.5,Sea,2,4
SHIP_269,6,Snow,Sanction,0.39,Road,7,6
SHIP_270,2,Rainy,None,0.9,Air,9,3
SHIP_271,10,Storm,None,0.71,Air,6,6
SHIP_272,7,Storm,None,0.92,Road,8,6
SHIP_273,10,Storm,Strike,0.96,Sea,5,8
SHIP_274,4,Clear,Strike,0.34,Road,2,4
SHIP_275,6,Storm,Sanction,0.65,Rail,4,6
SHIP_276,3,Clear,None,0.56,Air,1,1
SHIP_277,11,Rainy,Strike,0.74,Rail,1,5
SHIP_278,6,Clear,Sanction,0.86,Road,6,4
SHIP_279,14,Rainy,None,0.5,Road,2,4
SHIP_280,14,Storm,Tariff,0.69,Sea,6,7
SHIP_281,14,Storm,None,0.8,Sea,1,6
SHIP_282,9,Rainy,None,0.39,Sea,3,5
SHIP_283,12,Snow,Strike,0.87,Rail,9,8
SHIP_284,3,Rainy,Sanction,0.72,Sea,2,4
SHIP_285,9,Snow,Sanction,0.96,Road,8,7
SHIP_286,5,Clear,Strike,0.54,Sea,6,5
SHIP_287,11,Clear,None,0.38,Air,6,4
SHIP_288,11,Clear,Tariff,0.65,Sea,7,6
SHIP_289,2,Storm,None,0.36,Rail,5,5
SHIP_290,14,Clear,None,0.98,Air,4,3
SHIP_291,6,Snow,Tariff,0.33,Air,6,5
SHIP_292,14,Clear,Strike,0.83,Air,8,7
SHIP_293,2,Rainy,Sanction,0.67,Rail,4,4
SHIP_294,8,Rainy,Strike,0.56,Road,5,6
SHIP_295,9,Storm,Strike,0.35,Sea,7,8
SHIP_296,4,Rainy,None,0.74,Air,6,3
SHIP_297,4,Snow,Sanction,0.71,Air,4,5
SHIP_298,8,Clear,Sanction,0.5,Air,4,4
SHIP_299,5,Storm,Strike,0.94,Road,4,6
SHIP_300,4,Clear,Tariff,0.51,Road,1,2
SHIP_301,9,Clear,Strike,0.61,Rail,5,6
SHIP_302,4,Snow,Tariff,0.68,Road,8,5
SHIP_303,14,Rainy,Sanction,0.37,Sea,7,8
SHIP_304,8,Rainy,Strike,0.95,Rail,5,6
SHIP_305,3,Clear,None,0.56,Rail,3,2
SHIP_306,12,Storm,Strike,0.36,Sea,1,7
SHIP_307,12,Rainy,Sanction,0.57,Sea,7,7
SHIP_308,2,Storm,None,0.72,Sea,3,4
SHIP_309,13,Rainy,None,0.66,Rail,4,5
SHIP_310,7,Storm,Tariff,0.79,Rail,5,6
SHIP_311,9,Snow,None,0.34,Rail,8,7
SHIP_312,2,Storm,None,0.5,Sea,7,6
SHIP_313,14,Snow,Strike,0.87,Sea,9,9
SHIP_314,11,Snow,Sanction,0.36,Air,3,6
SHIP_315,13,Storm,Tariff,0.9,Road,1,5
SHIP_316,10,Snow,Strike,0.36,Air,1,5
SHIP_317,4,Clear,None,0.88,Sea,1,1
SHIP_318,4,Snow,None,0.55,Rail,2,3
SHIP_319,5,Rainy,Tariff,0.73,Sea,2,3
SHIP_320,12,Storm,Sanction,0.41,Road,7,8
SHIP_321,2,Clear,Tariff,0.35,Air,9,4
SHIP_322,10,Storm,Strike,0.45,Air,8,9
SHIP_323,12,Rainy,Tariff,0.39,Rail,4,5
SHIP_324,4,Rainy,None,0.52,Air,2,2
SHIP_325,14,Rainy,Strike,0.66,Air,3,6
SHIP_326,11,Snow,None,0.71,Sea,5,6
SHIP_327,5,Snow,Sanction,0.85,Air,9,6
SHIP_328,2,Storm,None,0.76,Air,8,5
SHIP_329,5,Storm,None,0.73,Air,3,4
SHIP_330,14,Clear,Tariff,0.59,Rail,9,7
SHIP_331,2,Clear,None,0.63,Rail,3,2
SHIP_332,6,Storm,Strike,0.59,Sea,8,8
SHIP_333,6,Snow,Strike,0.89,Air,1,4
SHIP_334,12,Rainy,Sanction,0.46,Rail,4,6
SHIP_335,8,Storm,Strike,0.3,Rail,4,9
SHIP_336,9,Clear,Tariff,0.76,Sea,6,4
SHIP_337,5,Snow,Sanction,0.44,Road,2,4
SHIP_338,8,Storm,Strike,0.92,Air,7,7
SHIP_339,5,Storm,Tariff,0.9,Rail,5,7
SHIP_340,4,Snow,Strike,0.35,Sea,6,7
SHIP_341,7,Storm,Strike,0.37,Sea,6,8
SHIP_342,5,Snow,None,0.65,Sea,6,5
SHIP_343,4,Rainy,Strike,0.73,Rail,8,7
SHIP_344,10,Snow,Strike,0.49,Air,4,6
SHIP_345,6,Snow,Tariff,0.8,Road,8,5
SHIP_346,14,Snow,Tariff,0.72,Air,9,7
SHIP_347,8,Storm,None,0.53,Sea,4,6
SHIP_348,13,Storm,Strike,0.32,Sea,1,8
SHIP_349,7,Snow,None,0.83,Road,3,4
SHIP_350,11,Storm,Strike,0.45,Air,1,7
SHIP_351,6,Clear,Sanction,0.88,Sea,7,5
SHIP_352,8,Clear,Sanction,0.59,Sea,1,3
SHIP_353,12,Storm,None,0.7,Air,4,5
SHIP_354,7,Storm,None,0.91,Sea,1,5
SHIP_355,11,Snow,None,0.9,Air,2,4
SHIP_356,3,Rainy,Tariff,0.56,Sea,1,3
SHIP_357,14,Storm,Tariff,0.45,Air,5,6
SHIP_358,14,Clear,Tariff,0.84,Road,7,6
SHIP_359,14,Snow,None,0.6,Sea,3,6
SHIP_360,4,Storm,Strike,0.43,Road,8,8
SHIP_361,3,Clear,Sanction,0.93,Sea,5,4
SHIP_362,13,Clear,None,0.44,Sea,5,5
SHIP_363,4,Rainy,Tariff,0.32,Rail,5,4
SHIP_364,2,Snow,Tariff,0.31,Air,8,6
SHIP_365,9,Snow,None,0.74,Road,2,5
SHIP_366,7,Rainy,None,0.76,Road,2,3
SHIP_367,14,Rainy,Tariff,0.52,Road,8,7
SHIP_368,3,Snow,Strike,0.52,Air,9,7
SHIP_369,9,Snow,Tariff,0.54,Rail,2,5
SHIP_370,7,Storm,Tariff,0.78,Road,4,5
SHIP_371,8,Storm,None,0.34,Air,8,7
SHIP_372,12,Rainy,Strike,0.95,Sea,2,6
SHIP_373,2,Storm,Tariff,0.46,Road,4,5
SHIP_374,8,Clear,Tariff,1.0,Road,1,2
SHIP_375,4,Storm,Sanction,0.42,Rail,2,6
SHIP_376,12,Storm,None,0.84,Road,7,7
SHIP_377,13,Clear,Sanction,0.46,Road,1,4
SHIP_378,9,Rainy,Sanction,0.36,Sea,1,5
SHIP_379,7,Clear,Tariff,0.91,Air,2,2
SHIP_380,5,Storm,None,0.9,Air,4,4
SHIP_381,12,Rainy,Strike,0.58,Rail,7,8
SHIP_382,9,Storm,Tariff,0.79,Sea,4,6
SHIP_383,10,Clear,Strike,0.69,Air,5,6
SHIP_384,11,Clear,Strike,0.9,Sea,4,6
SHIP_385,3,Storm,None,0.52,Air,4,4
SHIP_386,7,Snow,Sanction,0.67,Sea,9,8
SHIP_387,6,Snow,None,0.64,Rail,6,5
SHIP_388,6,Clear,Strike,0.55,Road,3,5
SHIP_389,11,Clear,Tariff,0.92,Rail,6,5
SHIP_390,12,Snow,Strike,0.42,Air,7,7
SHIP_391,4,Snow,Tariff,0.4,Rail,7,7
SHIP_392,13,Storm,Tariff,0.7,Road,8,8
SHIP_393,9,Storm,None,0.76,Rail,4,5
SHIP_394,9,Snow,Strike,0.44,Air,1,6
SHIP_395,13,Storm,Sanction,0.57,Air,6,8
SHIP_396,6,Storm,Strike,0.96,Rail,8,8
SHIP_397,9,Rainy,Strike,0.47,Road,5,6
SHIP_398,11,Storm,Sanction,0.77,Rail,3,7
SHIP_399,9,Clear,None,0.82,Road,4,3
SHIP_400,4,Storm,Strike,0.61,Sea,8,9
SHIP_401,3,Storm,Strike,0.96,Road,6,7
SHIP_402,10,Snow,Tariff,0.82,Sea,5,6
SHIP_403,3,Clear,Strike,0.62,Rail,9,6
SHIP_404,10,Storm,Sanction,0.7,Road,3,6
SHIP_405,5,Storm,Tariff,0.78,Sea,7,7
SHIP_406,13,Rainy,None,0.71,Sea,9,6
SHIP_407,14,Storm,Tariff,0.92,Sea,4,7
SHIP_408,3,Storm,Sanction,0.55,Air,3,5
SHIP_409,11,Rainy,Sanction,0.51,Rail,1,4
SHIP_410,2,Snow,Tariff,0.45,Sea,9,6
SHIP_411,5,Storm,None,0.33,Road,1,4
SHIP_412,10,Rainy,Tariff,0.33,Sea,2,5
SHIP_413,13,Clear,None,0.91,Air,9,4
SHIP_414,10,Snow,Tariff,0.77,Rail,5,7
SHIP_415,5,Clear,Sanction,0.76,Air,4,3
SHIP_416,10,Clear,Strike,0.73,Air,9,7
SHIP_417,13,Rainy,Strike,0.89,Air,9,7
SHIP_418,7,Storm,None,0.64,Road,2,5
SHIP_419,2,Rainy,None,0.91,Rail,3,2
SHIP_420,11,Rainy,None,0.55,Rail,3,5
SHIP_421,14,Rainy,Sanction,0.95,Road,5,6
SHIP_422,7,Rainy,Tariff,0.79,Rail,3,4
SHIP_423,10,Snow,Sanction,0.48,Air,6,7
SHIP_424,14,Storm,Strike,0.69,Rail,2,8
SHIP_425,3,Clear,None,0.67,Road,6,2
SHIP_426,7,Clear,Tariff,0.4,Air,6,4
SHIP_427,3,Storm,Strike,0.71,Road,2,5
SHIP_428,5,Clear,Strike,0.52,Sea,6,5
SHIP_429,9,Storm,Strike,0.34,Air,6,8
SHIP_430,14,Clear,Sanction,0.96,Air,6,5
SHIP_431,8,Rainy,None,0.75,Rail,5,4
SHIP_432,12,Clear,Strike,0.91,Air,7,5
SHIP_433,13,Storm,None,0.77,Road,5,6
SHIP_434,14,Storm,Sanction,0.55,Rail,1,7
SHIP_435,10,Storm,Strike,0.66,Sea,9,9
SHIP_436,8,Storm,Sanction,0.77,Road,3,6
SHIP_437,2,Storm,Sanction,0.97,Sea,2,4
SHIP_438,3,Snow,None,0.48,Sea,6,5
SHIP_439,7,Snow,Strike,0.91,Sea,8,7
SHIP_440,8,Clear,Sanction,0.95,Air,2,3
SHIP_441,4,Storm,Strike,0.77,Road,4,6
SHIP_442,10,Clear,None,0.95,Road,2,3
SHIP_443,14,Storm,Sanction,0.58,Air,9,9
SHIP_444,8,Storm,None,0.97,Rail,2,4
SHIP_445,7,Snow,Strike,0.79,Sea,2,6
SHIP_446,14,Snow,Strike,0.33,Road,5,7
SHIP_447,7,Rainy,None,0.93,Air,5,3
SHIP_448,2,Snow,Tariff,0.64,Sea,7,6
SHIP_449,14,Rainy,Sanction,0.62,Rail,1,5
SHIP_450,6,Rainy,Strike,0.7,Rail,2,5
SHIP_451,11,Rainy,Strike,0.4,Sea,6,7
SHIP_452,4,Rainy,Sanction,0.63,Rail,2,4
SHIP_453,8,Rainy,None,0.88,Road,4,3
SHIP_454,11,Clear,None,0.31,Road,6,4
SHIP_455,4,Snow,None,0.49,Road,7,5
SHIP_456,6,Rainy,Tariff,0.3,Rail,5,6
SHIP_457,8,Storm,Tariff,0.59,Road,8,7
SHIP_458,4,Snow,Strike,0.81,Air,6,6
SHIP_459,14,Snow,None,0.86,Road,5,5
SHIP_460,14,Rainy,Sanction,0.96,Road,4,6
SHIP_461,11,Clear,Strike,0.73,Rail,6,6
SHIP_462,3,Rainy,Sanction,0.48,Road,6,6
SHIP_463,7,Clear,Strike,0.95,Sea,6,5
SHIP_464,9,Storm,Tariff,0.84,Air,1,4
SHIP_465,5,Snow,Strike,0.7,Rail,6,7
SHIP_466,10,Storm,Tariff,0.79,Air,1,5
SHIP_467,13,Clear,Strike,0.95,Sea,5,6
SHIP_468,13,Clear,None,0.8,Rail,7,5
SHIP_469,9,Storm,Sanction,0.56,Rail,1,6
SHIP_470,8,Clear,None,0.8,Road,1,2
SHIP_471,8,Storm,Strike,0.33,Air,6,8
SHIP_472,4,Snow,Strike,0.57,Sea,7,7
SHIP_473,7,Storm,Strike,0.58,Sea,6,8
SHIP_474,14,Snow,Tariff,0.42,Rail,5,7
SHIP_475,14,Storm,Sanction,0.32,Road,6,8
SHIP_476,6,Clear,Sanction,0.39,Rail,3,4
SHIP_477,2,Storm,Strike,0.76,Rail,9,8
SHIP_478,12,Clear,Strike,0.86,Rail,5,6
SHIP_479,4,Storm,Tariff,0.99,Rail,2,4
SHIP_480,14,Storm,None,0.54,Sea,7,8
SHIP_481,13,Rainy,None,0.72,Sea,3,4
SHIP_482,2,Clear,Sanction,0.96,Rail,1,2
SHIP_483,5,Rainy,Tariff,0.42,Rail,3,4
SHIP_484,11,Clear,Strike,0.8,Road,9,7
